step,train_loss,val_loss,lr,grad_norm,tokens_seen
1970,3.8359,,0.0004,0.28,2065694720
1980,3.8686,,0.0004,0.28,2076180480
1990,3.8507,,0.0004,0.31,2086666240
2000,3.8433,,0.0004,0.28,2097152000
2010,3.9003,,0.0004,0.32,2107637760
2020,3.8388,,0.0004,0.28,2118123520
2030,3.8803,,0.0004,0.27,2128609280
2040,3.8372,,0.0004,0.27,2139095040
2050,3.7894,,0.0004,0.31,2149580800
2060,3.7977,,0.0004,0.25,2160066560
2070,3.842,,0.0004,0.34,2170552320
2080,3.8029,,0.0004,0.31,2181038080
2090,3.8183,,0.0004,0.26,2191523840
2100,3.8194,,0.0004,0.35,2202009600
2110,3.8477,,0.0004,0.3,2212495360
2120,3.8338,,0.0004,0.32,2222981120
2130,3.8217,,0.0004,0.28,2233466880
2140,3.8224,,0.0004,0.36,2243952640
2150,3.8075,,0.0004,0.26,2254438400
2160,3.8284,,0.0004,0.27,2264924160
2170,3.7853,,0.0004,0.27,2275409920
2180,3.8037,,0.0004,0.29,2285895680
2190,3.8122,,0.0004,0.3,2296381440
2200,3.7979,,0.0004,0.3,2306867200
2210,3.819,,0.0004,0.29,2317352960
2220,3.7772,,0.0004,0.27,2327838720
2230,3.7947,,0.0004,0.3,2338324480
2240,3.7962,,0.0004,0.39,2348810240
2250,3.7607,,0.0004,0.26,2359296000
2260,3.7691,,0.0004,0.27,2369781760
2270,3.776,,0.0004,0.27,2380267520
2280,3.8228,,0.0004,0.32,2390753280
2290,3.7957,,0.0004,0.26,2401239040
2300,3.7791,,0.0004,0.26,2411724800
2310,3.8142,,0.0004,0.26,2422210560
2320,3.8046,,0.0004,0.28,2432696320
2330,3.7966,,0.0004,0.29,2443182080
2340,3.8115,,0.0004,0.27,2453667840
2350,3.8076,,0.0004,0.32,2464153600
2360,3.8174,,0.0004,0.29,2474639360
2370,3.8376,,0.0004,0.26,2485125120
2380,3.7652,,0.0004,0.3,2495610880
2390,3.7931,,0.0004,0.32,2506096640
2400,3.7773,,0.0004,0.27,2516582400
2410,3.7897,,0.0004,0.26,2527068160
2420,3.759,,0.0004,0.31,2537553920
2430,3.7762,,0.0004,0.31,2548039680
2440,3.7479,,0.0004,0.29,2558525440
2450,3.814,,0.0004,0.31,2569011200
2460,3.8052,,0.0004,0.27,2579496960
2470,3.7988,,0.0004,0.47,2589982720
2480,3.8182,,0.0004,0.27,2600468480
2490,3.7368,,0.0004,0.26,2610954240
2500,3.7266,,0.0004,0.25,2621440000
2510,3.7451,,0.0004,0.29,2631925760
2520,3.7303,,0.0004,0.27,2642411520
2530,3.7383,,0.0004,0.27,2652897280
2540,3.7726,,0.0004,0.32,2663383040
2550,3.7428,,0.0004,0.26,2673868800
2560,3.7908,,0.0004,0.27,2684354560
2570,3.7144,,0.0004,0.27,2694840320
2580,3.7358,,0.0004,0.28,2705326080
2590,3.714,,0.0004,0.3,2715811840
2600,3.7412,,0.0004,0.29,2726297600
2610,3.7449,,0.0004,0.28,2736783360
2620,3.7311,,0.0004,0.29,2747269120
2630,3.7745,,0.0004,0.26,2757754880
2640,3.748,,0.0004,0.25,2768240640
2650,3.7694,,0.0004,0.29,2778726400
2660,3.6878,,0.0004,0.24,2789212160
2670,3.772,,0.0004,0.27,2799697920
2680,3.7214,,0.0004,0.27,2810183680
2690,3.7154,,0.0004,0.26,2820669440
2700,3.7591,,0.0004,0.3,2831155200
2710,3.784,,0.0004,0.32,2841640960
2720,3.7252,,0.0004,0.25,2852126720
2730,3.7338,,0.0004,0.31,2862612480
2740,3.769,,0.0004,0.24,2873098240
2750,3.7647,,0.0004,0.27,2883584000
2760,3.7161,,0.0004,0.26,2894069760
2770,3.7607,,0.0004,0.35,2904555520
2780,3.7746,,0.0004,0.26,2915041280
2790,3.6928,,0.0004,0.25,2925527040
2800,3.727,,0.0004,0.26,2936012800
2810,3.7079,,0.0004,0.28,2946498560
2820,3.7013,,0.0004,0.26,2956984320
2830,3.7565,,0.0004,0.32,2967470080
2840,3.7261,,0.0004,0.27,2977955840
2850,3.7658,,0.0004,0.33,2988441600
2860,3.7634,,0.0004,0.27,2998927360
2870,3.7309,,0.0004,0.26,3009413120
2880,3.7224,,0.0004,0.32,3019898880
2890,3.7422,,0.0004,0.28,3030384640
2900,3.7211,,0.0004,0.3,3040870400
2910,3.6762,,0.0004,0.28,3051356160
2920,3.7276,,0.0004,0.26,3061841920
2930,3.682,,0.0004,0.26,3072327680
2940,3.7285,,0.0004,0.25,3082813440
