step,train_loss,val_loss,lr,grad_norm,tokens_seen
12190,3.3341,,0.00012,0.24,12782141440
12200,3.3554,,0.000118,0.22,12792627200
12210,3.4032,,0.000116,0.22,12803112960
12220,3.3878,,0.000114,0.23,12813598720
12230,3.3844,,0.000112,0.21,12824084480
12240,3.3943,,0.000111,0.22,12834570240
12250,3.3669,,0.000109,0.22,12845056000
12260,3.3585,,0.000107,0.21,12855541760
12270,3.3968,,0.000106,0.22,12866027520
12280,3.3829,,0.000104,0.22,12876513280
12290,3.3462,,0.000102,0.26,12886999040
12300,3.3615,,0.000101,0.23,12897484800
12310,3.3796,,9.9e-05,0.23,12907970560
12320,3.4043,,9.74e-05,0.21,12918456320
12330,3.3774,,9.58e-05,0.22,12928942080
12340,3.3799,,9.43e-05,0.21,12939427840
12350,3.3434,,9.27e-05,0.21,12949913600
12360,3.3265,,9.12e-05,0.21,12960399360
12370,3.4229,,8.97e-05,0.22,12970885120
12380,3.3648,,8.82e-05,0.21,12981370880
12390,3.3579,,8.67e-05,0.2,12991856640
12400,3.376,,8.53e-05,0.22,13002342400
12410,3.3564,,8.38e-05,0.22,13012828160
12420,3.4164,,8.24e-05,0.22,13023313920
12430,3.3436,,8.1e-05,0.21,13033799680
12440,3.364,,7.97e-05,0.22,13044285440
12450,3.4007,,7.83e-05,0.2,13054771200
12460,3.37,,7.7e-05,0.22,13065256960
12470,3.4265,,7.57e-05,0.22,13075742720
12480,3.3394,,7.44e-05,0.22,13086228480
12490,3.3994,,7.31e-05,0.2,13096714240
12500,3.3493,,7.19e-05,0.21,13107200000
12510,3.341,,7.06e-05,0.2,13117685760
12520,3.3259,,6.94e-05,0.23,13128171520
12530,3.3959,,6.83e-05,0.2,13138657280
12540,3.3742,,6.71e-05,0.32,13149143040
12550,3.3791,,6.6e-05,0.2,13159628800
12560,3.317,,6.48e-05,0.2,13170114560
12570,3.3502,,6.38e-05,0.21,13180600320
12580,3.3894,,6.27e-05,0.2,13191086080
12590,3.3845,,6.16e-05,0.21,13201571840
12600,3.3801,,6.06e-05,0.2,13212057600
12610,3.3765,,5.96e-05,0.2,13222543360
12620,3.4199,,5.86e-05,0.2,13233029120
12630,3.3577,,5.77e-05,0.2,13243514880
12640,3.314,,5.68e-05,0.21,13254000640
12650,3.371,,5.59e-05,0.21,13264486400
12660,3.3385,,5.5e-05,0.2,13274972160
12670,3.3579,,5.41e-05,0.2,13285457920
12680,3.3483,,5.33e-05,0.2,13295943680
12690,3.3871,,5.25e-05,0.2,13306429440
12700,3.3491,,5.17e-05,0.2,13316915200
12710,3.3805,,5.09e-05,0.2,13327400960
12720,3.3769,,5.02e-05,0.2,13337886720
12730,3.3571,,4.95e-05,0.22,13348372480
12740,3.3758,,4.88e-05,0.19,13358858240
12750,3.3636,,4.82e-05,0.21,13369344000
12760,3.3345,,4.75e-05,0.2,13379829760
12770,3.3998,,4.69e-05,0.2,13390315520
12780,3.3564,,4.63e-05,0.19,13400801280
12790,3.3813,,4.58e-05,0.2,13411287040
12800,3.3775,,4.52e-05,0.23,13421772800
12810,3.4029,,4.47e-05,0.2,13432258560
12820,3.3961,,4.42e-05,0.22,13442744320
12830,3.362,,4.38e-05,0.19,13453230080
12840,3.36,,4.34e-05,0.25,13463715840
12850,3.3848,,4.29e-05,0.2,13474201600
12860,3.3377,,4.26e-05,0.19,13484687360
12870,3.4038,,4.22e-05,0.2,13495173120
12880,3.4266,,4.19e-05,0.19,13505658880
12890,3.4028,,4.16e-05,0.21,13516144640
12900,3.3308,,4.13e-05,0.2,13526630400
12910,3.3622,,4.11e-05,0.19,13537116160
12920,3.3338,,4.08e-05,0.19,13547601920
12930,3.3721,,4.06e-05,0.3,13558087680
12940,3.3335,,4.05e-05,0.2,13568573440
12950,3.3678,,4.03e-05,0.2,13579059200
12960,3.2989,,4.02e-05,0.19,13589544960
12970,3.3354,,4.01e-05,0.19,13600030720
12980,3.3624,,4.01e-05,0.19,13610516480
12990,3.3494,,4e-05,0.19,13621002240
