params: 109.5M | device: cuda
step  1380 | loss 4.0330 | lr 4.00e-04 | gnorm 0.35 | 39,514 tok/s | mfu 21.6%
step  1390 | loss 4.0278 | lr 4.00e-04 | gnorm 0.34 | 39,560 tok/s | mfu 21.7%
step  1400 | loss 4.0219 | lr 4.00e-04 | gnorm 0.32 | 39,512 tok/s | mfu 21.6%
step  1410 | loss 4.0308 | lr 4.00e-04 | gnorm 0.36 | 39,516 tok/s | mfu 21.6%
step  1420 | loss 3.9703 | lr 4.00e-04 | gnorm 0.38 | 39,493 tok/s | mfu 21.6%
step  1430 | loss 4.0043 | lr 4.00e-04 | gnorm 0.33 | 39,448 tok/s | mfu 21.6%
step  1440 | loss 3.9764 | lr 4.00e-04 | gnorm 0.33 | 39,550 tok/s | mfu 21.7%
step  1450 | loss 3.9848 | lr 4.00e-04 | gnorm 0.38 | 39,468 tok/s | mfu 21.6%
step  1460 | loss 3.9511 | lr 4.00e-04 | gnorm 0.31 | 39,508 tok/s | mfu 21.6%
step  1470 | loss 3.9939 | lr 4.00e-04 | gnorm 0.38 | 39,469 tok/s | mfu 21.6%
step  1480 | loss 3.9541 | lr 4.00e-04 | gnorm 0.31 | 39,499 tok/s | mfu 21.6%
step  1490 | loss 3.9756 | lr 4.00e-04 | gnorm 0.32 | 39,611 tok/s | mfu 21.7%
step  1500 | loss 3.9802 | lr 4.00e-04 | gnorm 0.31 | 39,597 tok/s | mfu 21.7%
step  1510 | loss 3.9646 | lr 4.00e-04 | gnorm 0.32 | 39,630 tok/s | mfu 21.7%
step  1520 | loss 3.9487 | lr 4.00e-04 | gnorm 0.29 | 39,680 tok/s | mfu 21.7%
step  1530 | loss 3.9208 | lr 4.00e-04 | gnorm 0.30 | 39,678 tok/s | mfu 21.7%
step  1540 | loss 3.9520 | lr 4.00e-04 | gnorm 0.30 | 39,600 tok/s | mfu 21.7%
step  1550 | loss 3.9748 | lr 4.00e-04 | gnorm 0.31 | 39,631 tok/s | mfu 21.7%
step  1560 | loss 3.9746 | lr 4.00e-04 | gnorm 0.40 | 39,534 tok/s | mfu 21.7%
step  1570 | loss 3.9497 | lr 4.00e-04 | gnorm 0.33 | 39,567 tok/s | mfu 21.7%
step  1580 | loss 3.9119 | lr 4.00e-04 | gnorm 0.37 | 39,580 tok/s | mfu 21.7%
step  1590 | loss 3.9537 | lr 4.00e-04 | gnorm 0.30 | 39,698 tok/s | mfu 21.7%
step  1600 | loss 3.9078 | lr 4.00e-04 | gnorm 0.41 | 39,833 tok/s | mfu 21.8%
step  1610 | loss 3.9262 | lr 4.00e-04 | gnorm 0.29 | 39,705 tok/s | mfu 21.7%
step  1620 | loss 3.8915 | lr 4.00e-04 | gnorm 0.34 | 39,886 tok/s | mfu 21.8%
step  1630 | loss 3.9157 | lr 4.00e-04 | gnorm 0.32 | 39,810 tok/s | mfu 21.8%
step  1640 | loss 3.8814 | lr 4.00e-04 | gnorm 0.27 | 40,004 tok/s | mfu 21.9%
